"","Sp","Count"
"1","Rhinolophus_macrotis",0.84
"2","Rhinolophus_stheno",0.83
"3","Rhinolophus_malayanus",0.82
"4","Rhinolophus_acuminatus",0.81
"5","Rhinolophus_pearsonii",0.78
"6","Rhinolophus_shameli",0.78
"7","Rhinolophus_thomasi",0.78
"8","Rhinolophus_sinicus",0.77
"9","Rhinolophus_trifoliatus",0.76
"10","Rhinolophus_marshalli",0.72
"11","Rhinolophus_shortridgei",0.71
"12","Rhinolophus_luctus",0.7
"13","Rhinolophus_sedulus",0.7
"14","Rhinolophus_rouxii",0.69
"15","Rhinolophus_pusillus",0.68
"16","Rhinolophus_ferrumequinum",0.67
"17","Rhinolophus_lepidus",0.67
"18","Hipposideros_pomona",0.66
"19","Rhinolophus_celebensis",0.66
"20","Rhinolophus_paradoxolophus",0.66
"21","Rhinolophus_yunanensis",0.66
"22","Rhinolophus_robinsoni",0.65
"23","Rhinolophus_siamensis",0.65
"24","Hipposideros_cineraceus",0.62
"25","Rhinolophus_borneensis",0.62
"26","Rhinolophus_coelophyllus",0.62
"27","Hipposideros_galeritus",0.61
"28","Rhinolophus_arcuatus",0.6
"29","Rhinolophus_bocharicus",0.6
"30","Rhinolophus_subbadius",0.6
"31","Rhinolophus_creaghi",0.59
"32","Rhinolophus_philippinensis",0.59
"33","Rhinolophus_virgo",0.59
"34","Hipposideros_diadema",0.57
"35","Rhinolophus_rex",0.56
"36","Rhinolophus_silvestris",0.56
"37","Rhinolophus_eloquens",0.55
"38","Hipposideros_ater",0.54
"39","Rhinolophus_formosae",0.54
"40","Rhinolophus_maclaudi",0.54
"41","Rhinolophus_madurensis",0.54
"42","Rhinolophus_keyensis",0.53
"43","Rhinolophus_nereis",0.53
"44","Hipposideros_lylei",0.52
"45","Rhinolophus_subrufus",0.52
"46","Hipposideros_bicolor",0.51
"47","Rhinolophus_blasii",0.51
"48","Hipposideros_pratti",0.5
"49","Rhinolophus_beddomei",0.5
"50","Rhinolophus_capensis",0.5
"51","Rhinolophus_ruwenzorii",0.5
"52","Coelops_frithii",0.49
"53","Rhinolophus_canuti",0.49
"54","Rhinolophus_guineensis",0.49
"55","Rhinolophus_hipposideros",0.49
"56","Rhinolophus_rufus",0.49
"57","Hipposideros_grandis",0.48
"58","Hipposideros_larvatus",0.48
"59","Megaderma_lyra",0.48
"60","Murina_leucogaster",0.48
"61","Rhinolophus_clivosus",0.48
"62","Rhinolophus_darlingi",0.48
"63","Rhinolophus_hildebrandtii",0.48
